Diagnosis1	Diagnosis2	LogicFlag
D75.81	C50.011	
D75.81	C50.012	
D75.81	C50.019	
D75.81	C50.021	
D75.81	C50.022	
D75.81	C50.029	
D75.81	C50.111	
D75.81	C50.112	
D75.81	C50.119	
D75.81	C50.121	
D75.81	C50.122	
D75.81	C50.129	
D75.81	C50.211	
D75.81	C50.212	
D75.81	C50.219	
D75.81	C50.221	
D75.81	C50.222	
D75.81	C50.229	
D75.81	C50.311	
D75.81	C50.312	
D75.81	C50.319	
D75.81	C50.321	
D75.81	C50.322	
D75.81	C50.329	
D75.81	C50.411	
D75.81	C50.412	
D75.81	C50.419	
D75.81	C50.421	
D75.81	C50.422	
D75.81	C50.429	
D75.81	C50.511	
D75.81	C50.512	
D75.81	C50.519	
D75.81	C50.521	
D75.81	C50.522	
D75.81	C50.529	
D75.81	C50.611	
D75.81	C50.612	
D75.81	C50.619	
D75.81	C50.621	
D75.81	C50.622	
D75.81	C50.629	
D75.81	C50.811	
D75.81	C50.812	
D75.81	C50.819	
D75.81	C50.821	
D75.81	C50.822	
D75.81	C50.829	
D75.81	C50.911	
D75.81	C50.912	
D75.81	C50.919	
D75.81	C50.921	
D75.81	C50.922	
D75.81	C50.929	
D77.	A50.01	
D77.	A50.02	
D77.	A50.03	
D77.	A50.04	
D77.	A50.05	
D77.	A50.06	
D77.	A50.07	
D77.	A50.08	
D77.	A50.09	
D77.	B50.0	
D77.	B50.8	
D77.	B50.9	
D77.	B51.0	
D77.	B51.8	
D77.	B51.9	
D77.	B52.0	
D77.	B52.8	
D77.	B52.9	
D77.	B53.0	
D77.	B53.1	
D77.	B53.8	
D77.	B54.	
D77.	B65.0	
D77.	B65.1	
D77.	B65.2	
D77.	B65.3	
D77.	B65.8	
D77.	B65.9	
D77.	B67.0	
D77.	B67.1	
D77.	B67.2	
D77.	B67.31	
D77.	B67.32	
D77.	B67.39	
D77.	B67.4	
D77.	B67.5	
D77.	B67.61	
D77.	B67.69	
D77.	B67.7	
D77.	B67.8	
D77.	B67.90	
D77.	B67.99	
D77.	E54.	
D77.	E85.0	
D77.	E85.1	
D77.	E85.2	
D77.	E85.3	
D77.	E85.4	
D77.	E85.81	
D77.	E85.82	
D77.	E85.89	
D77.	E85.9	
E08.311	C00.0	
E08.311	C00.1	
E08.311	C00.2	
E08.311	C00.3	
E08.311	C00.4	
E08.311	C00.5	
E08.311	C00.6	
E08.311	C00.8	
E08.311	C00.9	
E08.311	C01.	
E08.311	C02.0	
E08.311	C02.1	
E08.311	C02.2	
E08.311	C02.3	
E08.311	C02.4	
E08.311	C02.8	
E08.311	C02.9	
E08.311	C03.0	
E08.311	C03.1	
E08.311	C03.9	
E08.311	C04.0	
E08.311	C04.1	
E08.311	C04.8	
E08.311	C04.9	
E08.311	C05.0	
E08.311	C05.1	
E08.311	C05.2	
E08.311	C05.8	
E08.311	C05.9	
E08.311	C06.0	
E08.311	C06.1	
E08.311	C06.2	
E08.311	C06.80	
E08.311	C06.89	
E08.311	C06.9	
E08.311	C07.	
E08.311	C08.0	
E08.311	C08.1	
E08.311	C08.9	
E08.311	C09.0	
E08.311	C09.1	
E08.311	C09.8	
E08.311	C09.9	
E08.311	C10.0	
E08.311	C10.1	
E08.311	C10.2	
E08.311	C10.3	
E08.311	C10.4	
E08.311	C10.8	
E08.311	C10.9	
E08.311	C11.0	
E08.311	C11.1	
E08.311	C11.2	
E08.311	C11.3	
E08.311	C11.8	
E08.311	C11.9	
E08.311	C12.	
E08.311	C13.0	
E08.311	C13.1	
E08.311	C13.2	
E08.311	C13.8	
E08.311	C13.9	
E08.311	C14.0	
E08.311	C14.2	
E08.311	C14.8	
E08.311	C15.3	
E08.311	C15.4	
E08.311	C15.5	
E08.311	C15.8	
E08.311	C15.9	
E08.311	C16.0	
E08.311	C16.1	
E08.311	C16.2	
E08.311	C16.3	
E08.311	C16.4	
E08.311	C16.5	
E08.311	C16.6	
E08.311	C16.8	
E08.311	C16.9	
E08.311	C17.0	
E08.311	C17.1	
E08.311	C17.2	
E08.311	C17.3	
E08.311	C17.8	
E08.311	C17.9	
E08.311	C18.0	
E08.311	C18.1	
E08.311	C18.2	
E08.311	C18.3	
E08.311	C18.4	
E08.311	C18.5	
E08.311	C18.6	
E08.311	C18.7	
E08.311	C18.8	
E08.311	C18.9	
E08.311	C19.	
E08.311	C20.	
E08.311	C21.0	
E08.311	C21.1	
E08.311	C21.2	
E08.311	C21.8	
E08.311	C22.0	
E08.311	C22.1	
E08.311	C22.2	
E08.311	C22.3	
E08.311	C22.4	
E08.311	C22.7	
E08.311	C22.8	
E08.311	C22.9	
E08.311	C23.	
E08.311	C24.0	
E08.311	C24.1	
E08.311	C24.8	
E08.311	C24.9	
E08.311	C25.0	
E08.311	C25.1	
E08.311	C25.2	
E08.311	C25.3	
E08.311	C25.4	
E08.311	C25.7	
E08.311	C25.8	
E08.311	C25.9	
E08.311	C26.0	
E08.311	C26.1	
E08.311	C26.9	
E08.311	C30.0	
E08.311	C30.1	
E08.311	C31.0	
E08.311	C31.1	
E08.311	C31.2	
E08.311	C31.3	
E08.311	C31.8	
E08.311	C31.9	
E08.311	C32.0	
E08.311	C32.1	
E08.311	C32.2	
E08.311	C32.3	
E08.311	C32.8	
E08.311	C32.9	
E08.311	C33.	
E08.311	C34.00	
E08.311	C34.01	
E08.311	C34.02	
E08.311	C34.10	
E08.311	C34.11	
E08.311	C34.12	
E08.311	C34.2	
E08.311	C34.30	
E08.311	C34.31	
E08.311	C34.32	
E08.311	C34.80	
E08.311	C34.81	
E08.311	C34.82	
E08.311	C34.90	
E08.311	C34.91	
E08.311	C34.92	
E08.311	C37.	
E08.311	C38.0	
E08.311	C38.1	
E08.311	C38.2	
E08.311	C38.3	
E08.311	C38.4	
E08.311	C38.8	
E08.311	C39.0	
E08.311	C39.9	
E08.311	C40.00	
E08.311	C40.01	
E08.311	C40.02	
E08.311	C40.10	
E08.311	C40.11	
E08.311	C40.12	
E08.311	C40.20	
E08.311	C40.21	
E08.311	C40.22	
E08.311	C40.30	
E08.311	C40.31	
E08.311	C40.32	
E08.311	C40.80	
E08.311	C40.81	
E08.311	C40.82	
E08.311	C40.90	
E08.311	C40.91	
E08.311	C40.92	
E08.311	C41.0	
E08.311	C41.1	
E08.311	C41.2	
E08.311	C41.3	
E08.311	C41.4	
E08.311	C41.9	
E08.311	C43.0	
E08.311	C43.10	
E08.311	C43.11	
E08.311	C43.12	
E08.311	C43.20	
E08.311	C43.21	
E08.311	C43.22	
E08.311	C43.30	
E08.311	C43.31	
E08.311	C43.39	
E08.311	C43.4	
E08.311	C43.51	
E08.311	C43.52	
E08.311	C43.59	
E08.311	C43.60	
E08.311	C43.61	
E08.311	C43.62	
E08.311	C43.70	
E08.311	C43.71	
E08.311	C43.72	
E08.311	C43.8	
E08.311	C43.9	
E08.311	C44.00	
E08.311	C44.01	
E08.311	C44.02	
E08.311	C44.09	
E08.311	C44.101	
E08.311	C44.102	
E08.311	C44.109	
E08.311	C44.111	
E08.311	C44.112	
E08.311	C44.119	
E08.311	C44.121	
E08.311	C44.122	
E08.311	C44.129	
E08.311	C44.191	
E08.311	C44.192	
E08.311	C44.199	
E08.311	C44.201	
E08.311	C44.202	
E08.311	C44.209	
E08.311	C44.211	
E08.311	C44.212	
E08.311	C44.219	
E08.311	C44.221	
E08.311	C44.222	
E08.311	C44.229	
E08.311	C44.291	
E08.311	C44.292	
E08.311	C44.299	
E08.311	C44.300	
E08.311	C44.301	
E08.311	C44.309	
E08.311	C44.310	
E08.311	C44.311	
E08.311	C44.319	
E08.311	C44.320	
E08.311	C44.321	
E08.311	C44.329	
E08.311	C44.390	
E08.311	C44.391	
E08.311	C44.399	
E08.311	C44.40	
E08.311	C44.41	
E08.311	C44.42	
E08.311	C44.49	
E08.311	C44.500	
E08.311	C44.501	
E08.311	C44.509	
E08.311	C44.510	
E08.311	C44.511	
E08.311	C44.519	
E08.311	C44.520	
E08.311	C44.521	
E08.311	C44.529	
E08.311	C44.590	
E08.311	C44.591	
E08.311	C44.599	
E08.311	C44.601	
E08.311	C44.602	
E08.311	C44.609	
E08.311	C44.611	
E08.311	C44.612	
E08.311	C44.619	
