HH PPS Grouper Logic		
Hexavigesimal Code Table (converting dates to letter codes)		
Date	Julian date	Hexavigesimal
1-Jan	1	AA
2-Jan	2	AB
3-Jan	3	AC
4-Jan	4	AD
5-Jan	5	AE
6-Jan	6	AF
7-Jan	7	AG
8-Jan	8	AH
9-Jan	9	AI
10-Jan	10	AJ
11-Jan	11	AK
12-Jan	12	AL
13-Jan	13	AM
14-Jan	14	AN
15-Jan	15	AO
16-Jan	16	AP
17-Jan	17	AQ
18-Jan	18	AR
19-Jan	19	AS
20-Jan	20	AT
21-Jan	21	AU
22-Jan	22	AV
23-Jan	23	AW
24-Jan	24	AX
25-Jan	25	AY
26-Jan	26	AZ
27-Jan	27	BA
28-Jan	28	BB
29-Jan	29	BC
30-Jan	30	BD
31-Jan	31	BE
1-Feb	32	BF
2-Feb	33	BG
3-Feb	34	BH
4-Feb	35	BI
5-Feb	36	BJ
6-Feb	37	BK
7-Feb	38	BL
8-Feb	39	BM
9-Feb	40	BN
10-Feb	41	BO
11-Feb	42	BP
12-Feb	43	BQ
13-Feb	44	BR
14-Feb	45	BS
15-Feb	46	BT
16-Feb	47	BU
17-Feb	48	BV
18-Feb	49	BW
19-Feb	50	BX
20-Feb	51	BY
21-Feb	52	BZ
22-Feb	53	CA
23-Feb	54	CB
24-Feb	55	CC
25-Feb	56	CD
26-Feb	57	CE
27-Feb	58	CF
28-Feb	59	CG
29-Feb	60	CH
1-Mar	61	CI
2-Mar	62	CJ
3-Mar	63	CK
4-Mar	64	CL
5-Mar	65	CM
6-Mar	66	CN
7-Mar	67	CO
8-Mar	68	CP
9-Mar	69	CQ
10-Mar	70	CR
11-Mar	71	CS
12-Mar	72	CT
13-Mar	73	CU
14-Mar	74	CV
15-Mar	75	CW
16-Mar	76	CX
17-Mar	77	CY
18-Mar	78	CZ
19-Mar	79	DA
20-Mar	80	DB
21-Mar	81	DC
22-Mar	82	DD
23-Mar	83	DE
24-Mar	84	DF
25-Mar	85	DG
26-Mar	86	DH
27-Mar	87	DI
28-Mar	88	DJ
29-Mar	89	DK
30-Mar	90	DL
31-Mar	91	DM
1-Apr	92	DN
2-Apr	93	DO
3-Apr	94	DP
4-Apr	95	DQ
5-Apr	96	DR
6-Apr	97	DS
7-Apr	98	DT
8-Apr	99	DU
9-Apr	100	DV
10-Apr	101	DW
11-Apr	102	DX
12-Apr	103	DY
13-Apr	104	DZ
14-Apr	105	EA
15-Apr	106	EB
16-Apr	107	EC
17-Apr	108	ED
18-Apr	109	EE
19-Apr	110	EF
20-Apr	111	EG
21-Apr	112	EH
22-Apr	113	EI
23-Apr	114	EJ
24-Apr	115	EK
25-Apr	116	EL
26-Apr	117	EM
27-Apr	118	EN
28-Apr	119	EO
29-Apr	120	EP
30-Apr	121	EQ
1-May	122	ER
2-May	123	ES
3-May	124	ET
4-May	125	EU
5-May	126	EV
6-May	127	EW
7-May	128	EX
8-May	129	EY
9-May	130	EZ
10-May	131	FA
11-May	132	FB
12-May	133	FC
13-May	134	FD
14-May	135	FE
15-May	136	FF
16-May	137	FG
17-May	138	FH
18-May	139	FI
19-May	140	FJ
20-May	141	FK
21-May	142	FL
22-May	143	FM
23-May	144	FN
24-May	145	FO
25-May	146	FP
26-May	147	FQ
